"jobtitle","company","min_salary","max_salary","average_salary","pdate","tag_list","description","industry","companysize","comaddress","position1","education","workexperience","worklanguage","age","is_end"
"大数据分析稽核专员（上海，投资审计组）","深圳平安综合金融服务有限公司",14,28,21,"2017-10-17","定期体检,500强,五险一金,绩效奖金,带薪年假,公司规模大,技能培训,","岗位职责 \"1、建立常态化数据访问机制，协助优化系统平台建设及数据采集效率 2、具有风险监测、反舞弊反欺诈反洗钱模型、电子取证等方面的数据分析、建模及模型验证能力 3、协助专业公司开展全面风险管理，配合开展各项投资类稽核工作开展 4、落实投资系列子公司的日常数据采集、数据分析、电子取证等工作开展 5、协助投资系列子公司风险监测模型规划，归纳改进已有的风险控制模型 6、上级交办的其它临时性工作\" 岗位要求 \"教育程度：全日制本科以上学历，金融、审计、财会、法律等相关专业毕业者优先 相关经验：3年及以上大型企业或咨询公司数据库建设或大数据分析建模经验；参与过大型企业核心业务大数据建模项目优先 专业能力：熟练使用Hadoop分布式、PL-SQL、Hive等开发语句，熟练使用Matlab、python、R、SAS等大数据分析挖掘软件，逻辑判断能力强，对大数据分析前沿技术具有比较强的学习能力 核心能力:较强的学习理解能力及逻辑分析能力，良好的沟通协调和团队合作能力严谨细致，风险分析能力强\" 岗位投递规则：请将简历主题写为：岗位名称+工作地点+应聘部门 注：\"实际薪资受面试结果和定级结果影响而有所浮动，不限于公示的薪资范围”","信托/担保/拍卖/典当","1000-2000人","上海陆家嘴环路1333号平安大厦","上海","本科及以上","3年以上经验","普通话","年龄不限",0
"数据分析专员","贝壳金控控股(北京)有限公司",12,17,14.5,"2017-10-16","五险一金,岗位晋升,公司规模大,绩效奖金,发展空间大,","职责描述： 1、每日汇总、整理公司业绩数据，并发送给相关数据需求方； 2、对业绩规则进行管理，并负责维护业绩系统中业绩规则； 3、对业绩、人员等人力及公司经营数据进行分析，提出经营管理建议。 任职要求： 1、年龄22-30周岁，统招一本学历，人力、统计、数学专业优先； 2、有1-3年公司运营管理、人力运营管理相关经验；","信托/担保/拍卖/典当","500-999人","昆泰国际大厦","北京","统招本科","1年以上经验","语言不限","年龄不限",0
"应收数据分析专员","贝壳金控",12,20,16,"2017-10-16","公司规模大,岗位晋升,扁平管理,节日礼物,五险一金,发展空间大,定期体检,管理规范,","职责描述： 1.负责统筹金融产品业务财务数据归集和分析，建设财务数据管理体系； 2.负责核对及校验系统数据缺失及异常,确保财务数据准确无误，据实报告规范数据风险； 3.负责为运营\\经营分析等相关部门提供准确业务数据，为管理决策提供支持并出具分析报表； 4.管理并催收金融产品业务应收账款，反馈并跟踪逾期账款，出具应收账款账龄分析报表； 5.编制回款计划表，分析收入完成情况，与运营团队对接，交付回款计划完成情况； 6.领导交办的其他工作； 任职要求： 1.本科以上学历，统计类/财务类相关专业优先； 2.两年以上财务工作经历,擅长财务分析及应收账款管理； 3.较强的Excel分析和建立财务测算模型的能力,具备数字敏感性和良好的数据分析处理能力； 4.具有较强的跨部门沟通、协调能力和团队精神；能够在压力下工作，按时准确完成工作要求； 5.执行力强，善于思考与计划，有钻研精神，能应对上级布置的各项任务； 6.要求具有团队合作精神，工作积极主动，并能对所做工作提出建设性意见。","信托/担保/拍卖/典当","1000-2000人","朝阳门外大街昆泰国际大厦","北京","统招本科","2年以上经验","语言不限","年龄不限",0
"数据分析经理","爱建信托",12,18,15,"2017-10-18","绩效奖金,带薪年假,通讯津贴,交通补助,定期体检,扁平管理,技能培训,发展空间大,五险一金,优秀员工奖,岗位晋升,","职责描述： 1、	负责部门制式及基础性工作。 2、	负责MIS数据分析、业务报表制作、CRM系统更新及维护。 3、	负责服务渠道或系统创新，如网上信托、ipad移动签单、微信服务平台建设和推出及日常维护等。 4、	负责信托项目成立相关事宜。 5、	配合内部审计及外部监管部门的项目审查，根据审查结果及时落实、改进。 6、	参与部门的团队建设工作以及公司的企业文化建设、业务创新及管理革新。 7、	配合做好信托业务相关制度及流程的制订及修订工作。 8、	确保部门的操作流程符合公司内控管理体系的要求。 9、确保及时、按质完成部门经理交办的其他工作。 任职要求： 1、全日制本科或以上学历，金融、经济、财会等专业。 2、2年或以上金融行业从业经历，信托行业者优先。 3、具有较强的数据处理和分析能力。 4、具有良好的敬业精神及执行力，工作细致、认真、耐心、周到。","信托/担保/拍卖/典当","100-499人","上海市徐汇区肇嘉浜路746号","上海","统招本科","2年以上经验","语言不限","年龄不限",0
"数据分析岗（数据营销中心）","深圳平安综合金融服务有限公司",0,0,0,"2017-10-18","定期体检,500强,五险一金,绩效奖金,带薪年假,公司规模大,技能培训,","岗位职责： 1、平台优化：根据公司业务发展要求，提出数据平台架构和机制的优化需求，以提升数据平台的技术能力、应用范围、数据质量等； 2、分析洞见：通过分析客户和业务数据，提出支撑业务优化的分析洞见与创新策略； 3、推动落地：撰写促进方案，推动协同实施，跟踪效果，闭环检视； 4、资源规划：参与公司的信息资源管理整体规划，执行资源规划落实项目。 任职资格： 1.金融、统计、管理、数理、计算机全日制本科以上学历，学历学位双证齐全； 2.有大型数据库系统管理及数据分析挖掘经验； 3.精通SQL语言，熟练掌握Python、SAS、R等其中一种建模语言； 4.较强逻辑思维，较好的业务分析能力，具有一定沟通协调能力；具备强烈的意愿和责任感，抗压力强，具有进取心，善于辅导，乐于奉献，乐于与人沟通、分享。","信托/担保/拍卖/典当","1000-2000人","上海市浦东新区上丰路1288号2号楼","上海","统招本科","经验不限","语言不限","年龄不限",0
"数据分析岗（卡卡贷）","维信金科",8,12,10,"2017-10-12","带薪年假,领导好,五险一金,管理规范,餐饮津贴,","工作职责: 1、	统计、分析、预测各项业务运营指标，出具运营分析报告，及时发现经营和管理的不足，为领导层的管理和决策提供支持； 2、	分析客户贷中、贷后行为，以降低产品整体风险； 3、	执行数据监控，识别数据的异常波动，分析异常原因并协助完成方案制定； 4、	协助完成决策系统的测试，根据决策规则，完成测试案例的编写，跟踪缺陷解决情况。 任职资格: 1、	全日制本科以上学历，数学、统计、金融等相关专业； 2、 工作经验不限，优秀的应届生亦可考虑，具有数据分析、统计建模等经验优先； 3、	较强的逻辑判断，严谨的分析态度； 4、	具备敏锐的业务洞察力和数据分析技能，具备较强的分析能力及逻辑思维能力； 5、熟练使用SAS、excel，具备SQL基础者优先。","信托/担保/拍卖/典当","5000-10000人","上海市静安区灵石路697号健康智谷10号楼","上海","本科及以上","1年以上经验","语言不限","年龄不限",0
"数据分析运营岗","维信金科",7,10,8.5,"2017-10-12","带薪年假,领导好,五险一金,管理规范,餐饮津贴,","工作职责: 1.MIS，包括绩效考核，业务员及人力预测等； 2.对贷后各环节业务效能做阶段性分析； 3.数据追踪，催收过程及结果监控； 4.催收系统，前期开发阶段的需求、调试以及上线后的维护和对接窗口； 5.其他运营支持类工作等。 任职资格: 1.本科及以上学历，数学、统计学专业优先； 2.1年以上数据分析相关工作经验，了解贷后运营各项环节； 3.良好的中文口头及书面表达能力； 4.熟练使用分析类办公软件； 5.判断能力、决策能力、综合分析能力、辅导能力较强。","信托/担保/拍卖/典当","5000-10000人","虹口区四川北路88号1座星荟中心28F","上海","本科及以上","12年以上经验","语言不限","年龄不限",0
"大数据分析稽核经理（上海，投资审计组）","深圳平安综合金融服务有限公司",35,70,52.5,"2017-10-17","定期体检,500强,五险一金,绩效奖金,带薪年假,公司规模大,技能培训,","岗位职责 \"1、建立常态化数据访问机制，优化系统平台建设及数据采集效率，推动投资风险监测体系搭建 2、具有风险监测、反舞弊反欺诈反洗钱模型、电子取证等方面的数据分析、建模及模型验证能力， 3、推动专业公司开展全面风险管理，主导各项投资类稽核工作开展，加强与各单位的沟通协调，全面控制项目质量 4、管理投资系列子公司的日常数据采集、数据分析、电子取证等工作开展，优化改进大数据应用流程 5、完善投资系列子公司风险监测模型规划，分析内控和风险的变化趋势，推动改进已有的风险控制模型 6、上级交办的其它临时性工作\" 岗位要求 \"教育程度：全日制本科以上学历，金融、审计、财会、法律等相关专业毕业者优先 相关经验：5年及以上大型企业或咨询公司数据库建设或大数据分析建模经验；参与过大型企业核心业务大数据建模项目优先 专业能力：熟练使用Hadoop分布式、PL-SQL、Hive等开发语句，熟练使用Matlab、python、R、SAS等大数据分析挖掘软件，逻辑判断能力强，对大数据分析前沿技术具有比较强的学习能力 核心能力:较强的学习理解能力及逻辑分析能力，良好的沟通协调和团队合作能力严谨细致，风险分析能力强\" 岗位投递规则：请将简历主题写为：岗位名称+工作地点+应聘部门 注：\"实际薪资受面试结果和定级结果影响而有所浮动，不限于公示的薪资范围”","信托/担保/拍卖/典当","1000-2000人","上海陆家嘴环路1333号平安大厦","上海","本科及以上","5年以上经验","普通话","年龄不限",0
"销售数据分析","捷信消费金融有限公司",12,18,15,"2017-09-28","年底双薪,绩效奖金,带薪年假,定期体检,节日礼物,五险一金,岗位晋升,公司规模大,","Duties and responsibilities 1.	Serve as a business partner of sales network for sales operation related activities. 2.	Analyze historical trend, understand future opportunities, and develop forecasting model. Proactively coordinates cross-functionally to ensure high level of sales performance. 3.	Support Sales Analytical Manager on developing business case and analyses to meet expectations of our customers. 4.	Continuously refine and adjust sales bonus incentive schemes according to market and regional development characteristics. 5.	In addition, provide creative inputs to business strategy with the unique business setting in China, so as achieve win-win solution for shareholders. Requirements 	Minimum Bachelor’s degree, and Master’s degree preferred in finance or business administration, with 2+ years of sales/business analyst experience, project management/IT experience is a plus. 	Strong knowledge of business process and strategy. 	Proficient in MS Office operation, especially in EXCEL report generation and data processing/ Proficient in Oracle or SQL script. 	Fluent in English and knowledge of western culture is a plus. Study oversea experience is preferred Candidates that have Modeling skills such as regressions, LASSO, Ridge are preferred Can use data mining tools such as R, Python, SPSS and so on.​","信托/担保/拍卖/典当","10000人以上"," 天津市和平区赤峰道国际金融中心31-33层","天津","本科及以上","2年以上经验","语言不限","年龄不限",0
"Scorecard Analyst 数据分析","捷信消费金融有限公司",12,17,14.5,"2017-09-28","年底双薪,绩效奖金,带薪年假,定期体检,节日礼物,五险一金,岗位晋升,公司规模大,","职责描述： Independent credit risk scorecard development from the beginning to end including all the necessary data mining & data manipulation (to which detailed data warehouse knowledge will be needed). Manage implementation of credit monitoring tools and systems. 任职要求： University - preferably with focus on statistics/mathematics. English is needed at fluent level. Have at least 1 year hands-on experience working experience in scorecard development or data mining. Oracle SQL, SAS Enterprise Guide/SAS Enterprise Miner at least intermediate level. Experience with data mining techniques is a huge plus.","信托/担保/拍卖/典当","10000人以上"," 天津市和平区赤峰道国际金融中心31-33层","天津","本科及以上","2年以上经验","语言不限","年龄不限",0
"数据分析专员J10599","维信金科",10,14,12,"2017-09-26","年底双薪,带薪年假,岗位晋升,五险一金,发展空间大,公司规模大,午餐补助,","工作职责: 1、统计、分析、预测各项业务运营指标，出具运营分析报告，及时发现经营和管理的不足，为领导层的管理和决策提供支持； 2、分析客户贷中、贷后行为，以降低产品整体风险； 3、执行数据监控，识别数据的异常波动，分析异常原因并协助完成方案制定； 4、协助完成决策系统的测试，根据决策规则，完成测试案例的编写，跟踪缺陷解决情况。 任职资格: 1、全日制本科以上学历，数学、统计、金融等相关专业； 2、工作经验不限，优秀的应届生亦可考虑，具有数据分析、统计建模等经验优先； 3、较强的逻辑判断，严谨的分析态度； 4、具备敏锐的业务洞察力和数据分析技能，具备较强的分析能力及逻辑思维能力； 5、熟练使用SAS、excel，具备SQL基础者优先。","信托/担保/拍卖/典当","5000-10000人","上海市黄浦区汉口路266号申大厦5M层","上海","统招本科","1年以上经验","普通话","年龄不限",0
"数据分析岗（上海、催收中心）","深圳平安综合金融服务有限公司",6,10,8,"2017-09-25","定期体检,500强,五险一金,绩效奖金,带薪年假,公司规模大,技能培训,","岗位职责 \"1 日常指标监控和分析，报表制作； 2 月度指标完成、催收成效和经营性指标完成情况分析 3 MIS报表管理，基础数据管理； 4 支持一线作业的报表产出，如，失联客户数据挖掘等。 岗位要求 \"教育程度： 本科 专业能力： 金融、IT专业（熟练使用EXCEL和PPT，会SAS BASE或ORACLE优先考虑） 核心能力： 1.性格成熟稳重，细致耐心，工作责任感强； 2.具备一定的管理经验，人际沟通能力突出； 3.数据指标意识强，能够独立编制催收工具报表，有良好的文字表达能力； 4.有银行、金融机构资产保全相关经验； 最低工作年限： 1年，综合表现优秀可放宽 岗位投递规则：请将简历主题写为：岗位名称+工作地点+应聘部门 注：\"实际薪资受面试结果和定级结果影响而有所浮动，不限于公示的薪资范围”","信托/担保/拍卖/典当","1000-2000人","上海市浦东新区上丰路1288号2号楼","上海","本科及以上","1年以上经验","普通话","年龄不限",0
"数据分析岗（深圳、采购管理中心）","深圳平安综合金融服务有限公司",13,24,18.5,"2017-10-09","定期体检,500强,五险一金,绩效奖金,带薪年假,公司规模大,技能培训,","岗位职责 \"1、负责价格的分析和监控，确保平台价格具有市场优势，出具价格监督报告。 2、负责平台各项数据的统计和分析，包括用户行为分析，数据模型搭建等。 3、根据数据分析提出相关的管理改善、平台优化、流程优化、平台运营等的建议。 4、负责向集团、各专业公司及部门提供数据分析报告及流程优化建议报告。 岗位要求 \"1、大学本科及以上学历，财务、数学等相关专业。 2、3年以上相关工作经验，有电商数据分析工作经验优先，有市场价格分析经验优先。 3、对数据敏感，具备优秀的数据分析及报表呈现能力，精通Excel、Word、PPT等Office软件，至少熟练使用一门； 4、具有较强的专业技能、沟通能力、创新能力，敏锐的分析判断力，人际理解能力，承受压力的能力。\"","信托/担保/拍卖/典当","1000-2000人","福田区益田路5033号平安金融中心","深圳","本科及以上","3年以上经验","普通话","年龄不限",0
"数据分析经理","趣分期(北京)信息技术有限公司",30,75,52.5,"2017-09-19","五险一金,午餐补助,扁平管理,带薪年假,绩效奖金,弹性工作,发展空间大,管理规范,岗位晋升,技能培训,股票期权,公司规模大,","岗位职责 1.	通过数据的挖掘，密切关注运营进程，参与制定运营策略，提出改进方案，进行事后评价； 2.	深入业务，理解业务运作逻辑，对基于业务的各项运营、产品数据分析，进行数据监测、分析、统计、并形成指标体系。 3.	负责用户行为分析研究、用户画像等用户行为研究； 4.	持续跟踪业务数据，监测业务发展态势，为业务指标异常提供预警、监测和解读，同时完成业务专题分析。 5.	结合行业数据、业界观点和市场趋势，为长期业务发展方向提供战略层面的意见和建议。 任职要求 1.	5年以上数据分析相关工作经验 （电商背景优先），统计学先关专业； 2.	熟悉 MySQL、Oracle 等数据库，熟练使用 R、SPSS、SAS、Excel 等工具，熟练掌握常用数据挖掘方法和模型； 3.	有独立的数据分析项目经验并且能够独立设计执行； 4.	具备良好的逻辑思维能力、沟通能力和表达能力。","信托/担保/拍卖/典当","500-999人","慧忠北里222号趣店集团","北京","本科及以上","3年以上经验","普通话","年龄不限",0
"数据分析师","捷信消费金融有限公司",0,0,0,"2017-10-18","年底双薪,绩效奖金,带薪年假,定期体检,节日礼物,五险一金,岗位晋升,公司规模大,","岗位职责： 1、协助各部门处理业务数据 2、项目运营及数据分析 任职要求： 1、统招本科及以上学历，统计学、数学、金融相关专业（海归优先） 2、对数字敏感，热爱数据分析 3、熟练掌握excel及其它数据分析技能（SQL、SAS、R、SPSS等） 4、聪明灵活，善于沟通 5、英文听说读写流利，汇报对象可能为外籍","信托/担保/拍卖/典当","10000人以上"," 天津市和平区赤峰道国际金融中心31-33层","天津","统招本科","经验不限","英语 + 普通话","年龄不限",0
"数据模型分析师","北京中佳信科技发展有限公司",4,7,5.5,"2017-10-18","节日礼物,绩效奖金,定期体检,领导好,五险一金,技能培训,岗位晋升,发展空间大,交通补助,通讯津贴,","职责描述： 1.协助建模师根据房产信息进行评数据分析建模，搭建评估模型 2.协助建模师做客户征信数据就那些信用分析，搭建违约早偿模型。 3.协助建模师通过大数据进行客户标签画像。 4.基于运营数据监控指标体系，及时发现与定位业务问题。 任职要求： 1.研究生以上学历，数据科学、统计等相关专业优先； 2.必须熟练使用统计软件（包括SAS、PYTHON、R、STATA等）和数据库；","信托/担保/拍卖/典当","100-499人","北京朝阳区酒仙桥路10号院（恒通商务园）22号楼（B22座）一层102室","北京","硕士及以上","经验不限","语言不限","年龄不限",0
"数据处理分析工程师","软通动力",10,18,14,"2017-10-18","带薪年假,定期体检,节日礼物,五险一金,上市公司,管理规范,公司规模大,","职位描述： 1. 通过数据的分析挖掘，为决策提供数据支持，实现数据价值； 2. 负责公司业务相关的规则系统的开发 3. 负责数据的清洗、整理和构造 4. 配合产品完成业务相关的数据需求及指标； 任职要求： 1. 熟悉和掌握C/C＋＋ 和脚本语言编程(如Shell, Python等) ； 2. 熟悉规则系统（pcre）／数据提取／数据清洗等处理技术，了解典型的数据分析、数据挖掘； 3. 能够在Linux平台下面编写和使用脚本进行数据处理； 4. 有自主学习能力，能快速理解业务，良好的沟通能力； 福利待遇： 1. 时间弹性，管理宽松，保证工作进度和质量即可； 2. 近距离学习和了解机器学习相关的前沿技术； 3.薪酬看市场情况 要求本科以上 是做文本规则匹配，自然语言处理方向的。 就是辅助滴滴的技术人员，能够从事相关的自然处理，规则方面的总结、生成等工作 环境良好，氛围活跃，有机会转成滴滴的正岗，晋升机会多。","互联网·电商","10000人以上","安宁庄西路奋斗大厦","北京","统招本科","2年以上经验","语言不限","年龄不限",0
"信用数据分析师","有用分期",0,0,0,"2017-10-18","绩效奖金,带薪年假,扁平管理,五险一金,岗位晋升,技能培训,公司规模大,优秀员工奖,","岗位职责： 1.支持制定、审核和更新公司消费额度产品信用风险流程，包括审批/授信/调额，完善信用风险定价和额度管理，并建立全面风控体系； 2.支持设计信贷审批和资产监控体系，跟踪、分析政策执行效果，提出政策调整方案； 3.参与信用风险策略在审批和决策流程中的实施和落地； 4.与市场、销售部门紧密合作，对新产品、流程和设计进行信用风险评估、定价和控制设计，并对项目启动提出风险流程建议。 任职要求： 1.本科以上学历， 经济、数学、统计、计算机、信息科学等专业 ； 2.熟悉基本的数据分析工具，如SAS/R/PYTHON； 3.合规、风险和市场意识，逻辑思维及分析能力。","信托/担保/拍卖/典当","5000-10000人","深圳市南山区高新园大冲商务中心1号楼30层","深圳","统招本科","3年以上经验","普通话","25-30岁",0
"数据分析员","斯凯奇（SKECHERS）华东区",7,9,8,"2017-10-17","年底双薪,定期体检,管理规范,五险一金,岗位晋升,带薪年假,绩效奖金,","岗位职责： 1、统计及分析各类产品的销售情况； 2、统计及分析各类产品的库存情况； 3、根据各种维度做出领导所需的报表。 岗位要求： 1、大专或以上学历； 2、熟练操作EXCEL、PPT等办公软件； 3、1年或以上工作经验，具有外资零售行业工作经验优先； 4、英语阅读书写良好，懂粤语优先； 5、善于数据分析，对数据敏感； 6、沟通能力强。","服装服饰","500-999人","江苏北路69号3楼","上海","大专及以上","1年以上经验","普通话","年龄不限",0
"大数据工程师","网信集团",24,48,36,"2017-10-18","带薪年假,午餐补助,绩效奖金,弹性工作,定期体检,五险一金,扁平管理,发展空间大,","岗位职责: 1. 金融 数据基础平台的改进和演化，针对开源工具进行二次开发； 2. 基于对金融业务的深入理解，构建数据分析模型，支持风控、产品、运营、分析 任职资格: 1. 精通Hadoop/MapReduce/Hive/Spark/Hbase， 有一定的hql/sql性能调优经验 2. 有日志采集、海量数据处理、数据仓库建模、ABTesting框架、ETL等经验； 3. 熟悉Java/Scala/Python至少一种，有SQL相关开发经验； 4. 有较强的业务理解能力，能快速将业务问题转化成具体的技术解决方案； 5. 有较好的沟通交流能力，善于主动思考和行动，解决具有挑战性的问题，有较好的逻辑思维能力，较强的抽象、概括、总结能力； 6. 熟悉大数据开源社区优先。","互联网·电商","2000-5000人","北京市朝阳区霄云路28号院2号楼 网信大厦A座","北京","统招本科","3年以上经验","语言不限","年龄不限",0
"大数据风控经理","贝壳金控控股(北京)有限公司",0,0,0,"2017-10-18","带薪年假,午餐补助,通讯津贴,交通补助,节日礼物,弹性工作,公司规模大,五险一金,","职责描述： 1、了解金融产品的信用评分模型建设，金融服务和信贷业务的线上体系建设； 2、具备反欺诈模型，智能决策引擎设计的开发经验； 3、具备合作洽谈及商务谈判的基本技能，负责与其他各数据机构业务衔接； 4、负责外部合作相关的数据机构引进，及费用预算； 5、完成领导安排的其他工作。 任职要求： 1、有互联网金融从业经验优先，金融、法律、数学、统计等学科类专业优先； 2、具有3年以上的数据分析，金融机构风控模型、大数据相关从业经验； 3、思维严谨，具有较强的逻辑思维能力和表达能力，总结能力较强； 4、对于互联网信贷量化、数据化风控与建模技术有专研者，优先考虑。","信托/担保/拍卖/典当","500-999人","昆泰国际大厦","北京","统招本科","3年以上经验","语言不限","年龄不限",0
"大数据建模工程师","小康工业",0,0,0,"2017-10-18","上市公司,绩效奖金,定期体检,节日礼物,免费班车,发展空间大,五险一金,午餐补助,通讯津贴,管理规范,优秀员工奖,公司规模大,","岗位职责： 1、使用机器学习，统计分析等技术，设计数据建模方案，对业务数据进行分析和建模 2、负责各类数据挖掘模型的开发、应用、监控优化，支撑公司数据挖掘相关项目的落地 任务要求： 1、数学，统计或计算机相关专业，三到四年的数据建模，数据分析相关工作经验 2、熟悉数理统计，机器学习相关理论和实施方法 3、熟练掌握常用机器学习算法，如：logitic回归，决策树，聚类，SVM等算法原理，并有相关建模经验，熟悉模型的评估，及模型结果的解释 4、熟悉使用SQL语言、熟悉SPSS、Python、R等，并能利用熟悉的语言或工具进行数据建模 5、有可视化，深度学习工作或学习经验优先 6、具有良好的沟通合作意识，具有良好的学习和自我学习能力","汽车·摩托车","10000人以上","互联网产业园","重庆","本科及以上","3年以上经验","语言不限","年龄不限",0
"数据分析师","福建省三福百货有限公司",6,10,8,"2017-10-14","发展空间大,技能培训,五险一金,公司规模大,年底双薪,定期体检,通讯津贴,年度旅游,节日礼物,岗位晋升,生育补贴,绩效奖金,领导好,扁平管理,管理规范,","岗位职责： 1、为物流仓储建设选址提供必要的数据支持； 2、负责日常仓储运营管理数据工作，对相关数据进行汇总和分析，并制作出相关报表； 3、通过分析数据发现运营环节中的各问题、薄弱环节和漏洞，提出改善和优化方案，并督导优化方案的执行； 4、商品中心战略项目的数据收集。 任职资格： 1、5-6年数据分析经验（物流网络布局方向）； 2、有参与制定2-3个项目以上的工作经验者优先考虑； 3、数学、统计学、市场营销、工商管理等专业本科以上学历； 4、具备建模能力和方案撰写能力。","服装服饰","10000人以上","广州市白云区同德乡同康路287号盈亿国际鞋服","广州","本科及以上","5年以上经验","语言不限","年龄不限",0
"大数据高级开发工程师(000447)","中文在线数字出版集团股份有限公司",21,28,24.5,"2017-10-18","上市公司,扁平管理,午餐补助,通讯津贴,交通补助,带薪年假,绩效奖金,定期体检,","岗位职责: 1、参与教育软件系统平台的研发, 负责学习系统大规模业务，行为，日志分析、统计和建模，以及数据分析模块的开发。 2、参与学习大数据分析系统的架构设计、详细设计和编码，确保软件符合公司的开发规范。 任职资格: 1、计算机、统计、模式识别、数学等相关专业本科毕业及以上学历。 2、熟悉Hadoop体系结构、对Hadoop生态圈有较全面的了解,有Spark相关开发经验者优先。 3、熟悉Java、Shell、Python, Scala，可以熟练的使用Linux系统，了解Linux群集技术者优先。 4、具备良好的逻辑思维能力，对数据敏感，能够发现关键数据、抓住核心问题，具有数据挖掘、海量数据处理等相关项目经验者优先 5、具有较强的学习能力，积极主动的工作态度，良好的团队合作精神和主动沟通意识。","互联网·电商","500-999人","上海市上海市黄浦区斜土路768号致远大厦21楼J-M室","上海","学历不限","5年以上经验","普通话","年龄不限",0
"大数据平台工程师","北京全视云安科技有限公司",23,68,45.5,"2017-10-18","股票期权,弹性工作,扁平管理,发展空间大,五险一金,领导好,","职责描述：负责公司信息安全大数据分析基础平台的设计，开发，运维，监控，资源管理。 任职要求： 1. 熟悉Java，Python，Bash脚本语言； 2. 熟悉数据结构和常用算法； 3. 熟悉关系型数据库和 NoSQL； 4. 熟悉Hadoop、Kafka、Zookeeper、Spark、ElasticSearch的安装与调试； 5. 掌握 Linux 操作系统的配置，管理及优化，能够独立排查及解决系统层的各类问题； 6. 985、211院校优先","互联网·电商","1-49人","望京SOHO","北京","统招本科","2年以上经验","语言不限","年龄不限",0
"大数据总监","兔展-RabbitPre",42,72,57,"2017-10-18","弹性工作,扁平管理,五险一金,绩效奖金,发展空间大,领导好,团队聚餐,休闲餐点,年度旅游,节日礼物,带薪年假,优秀员工奖,发展前景好,","职责描述： 1. 带领团队设计、开发具有创新价值的大数据平台，对接内外部数据服务需求； 2. 负责大数据系统设计及功能模块设计，数据平台的搭建、维护和优化，解决核心技术问题，对技术方案进行决策； 3. 负责规划数据挖掘的整体流程，指导工程师完成数据挖掘相关的算法、应用的设计与开发，并参与用户产品和数据产品的决策； 4. 与业务部门密切配合，寻求数据层面的业务价值，利用数据分析结论推动产品优化； 5. 负责大数据技术团队的管理，包括人员选拔、培养、绩效管理，制定流程规范，塑造团队能力及氛围。 任职要求： 1、985/211院校全日制本科及以上学历，计算机、软件、数学等专业优先； 2.、精通Hadoop／Spark、Hive、HBase等主流的大数据技术，8年以上分布式系统、大数据相关工作经验，2年以上团队管理经验； 3、具备非常好的机器学习的理论基础和实际经验，良好的系统设计能力及项目经验，必要的产品管理意识和产品设计评估能力； 4、有一线互联网公司工作经验者优先。","互联网·电商","100-499人","深圳市南山区深圳湾科技生态园9栋B4座429室","深圳","统招本科","8年以上经验","语言不限","年龄不限",0
"大数据开发工程师","分期管家",18,36,27,"2017-10-18","年底双薪,带薪年假,扁平管理,领导好,五险一金,年度旅游,弹性工作,岗位晋升,零食下午茶,自助晚餐午餐包吃,节日礼物,团队聚餐,技能培训,股票期权,发展空间大,休闲餐点,","岗位职责： 1、负责数据的ETL的工作； 2、负责数据分析工具平台的设计和研发； 3、让数据平台为公司的商业决策提供有效的支持 任职资格： 1.  大学本科以上学历，3年以上工作经验，计算机相关专业； 2.  精通java和Hive SQL, 有SQL性能调优经验丰富的尤佳； 3.  熟悉大数据相关技术，对Apache Hadoop/hive/hbase/sqoop/spark等组件有一定程度的了解 4.  熟悉脚本语言python，perl，shell中的一种或几种； 5.  良好的沟通能力、团队精神和服务意识； 6.  具有强烈的上进心和求知欲，优秀的自主学习能力，自我管理能力；","互联网·电商","100-499人","紫霞街80号西溪谷A座8楼","杭州","本科及以上","3年以上经验","语言不限","年龄不限",0
"数据分析师","小康工业",0,0,0,"2017-10-18","带薪年假,五险一金,定期体检,免费班车,岗位晋升,管理规范,发展空间大,","岗位职责： 1、参与规模数据咨询知识模块的提炼； 2、参与数据咨询项目方案报告的撰写、展示、汇报、跟踪和分析行业、客户、市场动态数据； 3、支持数据咨询项目和产品的售前技术支持和售后技术服务； 任职要求： 1、硕士及以上学历，计算机、市场营销学、经济学、统计学、心理学等相关专业； 2、三年以上数据分析工作或学习研究经验,英语四级以上，具有优秀的英文听说读写能力； 3、 熟悉SQL语言， 熟悉MYSQL、ORACLE等关系型数据库，熟练掌握企业BI 报告及软件，熟悉分类与回归算法、变量筛选与降维算法，汽车、电子商务、制造物流等行业背景者优先； 4、对数据有强敏感度， 能够及时发现并解决问题。较强的快速学习能力， 对解决挑战型问题充满激情，良好的口头和书面表达能力， 能够跟客户进行业务沟通； 5、根据项目的需要， 偶而有赴美国和国内出差的需要。","汽车·摩托车","10000人以上","沙坪坝区井口工业园","重庆","硕士及以上","3年以上经验","英语 + 普通话","年龄不限",0
